,Unnamed: 0,id_str,screen_name,full_text,retweeted,emotion
0,0,1470736729502273539,d_byoung,@bebeahrang 발로란트 같이해요 엄청 재미있는게임 그리고 엄청 잘하시는걸요 .. 롤도 원딜 서폿 유져라 같이해요 !!,0,행복
1,1,1492708847454404608,fuvely_,"오늘 오후 9시 !
롤 하다가 이터널 리턴 할 거시와요 🥰
어푸푸 오늘 일겜에서 탑 미드 서폿만 할건데 완전 못하지만 덤덤이들 이빨은 안전할 거시와요 😉… (정글 원딜은 진짜 못하겠엉 ㅠㅠ)
이따 보자규~",0,행복
2,2,879365418405707776,mint_jasmyn,"롤 나보다 잘하면 내가 아마 엥길 꺼에요
저보다 잘하기 쉽거든요 증인 : 라 누나, 금간지
정글 서폿이라면 제가 롤하자고 맨날 찡얼 될꺼에요",0,공포
3,3,1269458799271612416,iiiliiiiiliilii,"롤하면 자꾸 이상한 놈들이 서폿은 혜지고 도구고 어쩌고 못해도 어쩌고 이러는데
막상 게임 오래 해보면 깨닫고맘
서폿도 잘해야 서폿하는구나
못하면 원딜이 잘해서 캐리하지 않는 이상 바텀터지고
원딜이 구원불가면 서폿은 그냥 딜러로 가면 됨
탱서폿 - 탱미드가듯
마법서폿 - 마법미드가듯",0,중립
4,4,1452297003564560384,nogat_99,"#롤트친소 #롤_트친소  
 -18세 남자
-플레이 시간: 저녁시간(12시까지)
-모스트: 벨코즈 니코                                              
-라인: 주로 미드 가끔 서폿 원딜                 -마이크 사용 가능
-트위터 처음이라 어색함                                -가볍게 말걸어주세요!",1,중립
5,5,798863939073282048,btbmin929233,"전 은광오빠 하다방도 못보고
여기서 굴려질 예정입니다...

오빠랑 롤해보고시픈데....
(티어가 너무 차이나서 큐돌려도 못할듯ㅋㅋ)
서은광씨.. 혹시나 럭스, 카르마 서폿이 필요하시다면 저를 불러주세요..
최고의 방어를 해드림니다.",0,슬픔
6,6,1470736729502273539,d_byoung,@bebeahrang 발로란트 같이해요 엄청 재미있는게임 그리고 엄청 잘하시는걸요 .. 롤도 원딜 서폿 유져라 같이해요 !!,0,행복
7,7,1492708847454404608,fuvely_,"오늘 오후 9시 !
롤 하다가 이터널 리턴 할 거시와요 🥰
어푸푸 오늘 일겜에서 탑 미드 서폿만 할건데 완전 못하지만 덤덤이들 이빨은 안전할 거시와요 😉… (정글 원딜은 진짜 못하겠엉 ㅠㅠ)
이따 보자규~",0,행복
8,8,879365418405707776,mint_jasmyn,"롤 나보다 잘하면 내가 아마 엥길 꺼에요
저보다 잘하기 쉽거든요 증인 : 라 누나, 금간지
정글 서폿이라면 제가 롤하자고 맨날 찡얼 될꺼에요",0,공포
9,9,1269458799271612416,iiiliiiiiliilii,"롤하면 자꾸 이상한 놈들이 서폿은 혜지고 도구고 어쩌고 못해도 어쩌고 이러는데
막상 게임 오래 해보면 깨닫고맘
서폿도 잘해야 서폿하는구나
못하면 원딜이 잘해서 캐리하지 않는 이상 바텀터지고
원딜이 구원불가면 서폿은 그냥 딜러로 가면 됨
탱서폿 - 탱미드가듯
마법서폿 - 마법미드가듯",0,중립
10,10,982167181,b1oomingmerry,@im_dermond 저 그것보다 롤에서 서폿으로 S받는 방법이 더 급한것같아요,0,공포
11,11,1503039848055074816,T1_oeooeo,롤 하실분 구합니다 ! (서폿유저),0,행복
12,12,1191748854078558209,blumenkranz09,"롤하면서 제일 슬펐던 일.. (언랭뉴비의 트윗이니 양해바람..)
내가 원딜이었는데 한명이 트롤픽해서 서폿 두명됨
내가 힐 써주는거 깜빡해서 말파가 죽음..ㅠㅠ
미안하다고 싹싹빔
그때부터 나를 벌레라고 하기 시작함
나는 진짜 미안해서 말파따라다니면서 최대한 딜넣음",0,슬픔
13,13,1332603418637074432,Molly_Doli,"오늘같이 롤할사람 찾습니다

랭크 무관

협곡 칼바람 무관

대신 욕은 안하시는 분이었으면...
참고로 저는 주라인은 서폿/원딜",0,중립
14,14,1169570641780961280,Seoul_number,"전에 말했듯이 난 롤할때 주로 가는 라인이 탑(미드는 가끔 스왑할때) 부라인은 바텀(원딜, 서폿) 

그리고 젤 자신 있는 탑챔은 가렌, 제이스, 피오라, 오공, 말파, 모데, 퀸, 쉔, 탐켄치 등 
자신 없는 탑챔은 이렐, 카밀, 다리우스, 세트 등",0,중립
15,15,1506504191522779141,_xoxo_yam,"여러분들. 나 오늘 집에 컴퓨터 설치한다.
앞으로 나랑 같이 롤 해줄 사람 괌.

* 나한테 욕만 안 하면 됨.
* 일단 나 서폿 제라스
* 가끔 미니언도 때림
* 원딜이 레드 맛있게 먹으면 가끔 실수인 척 막타침(이건 욕해도 갠찬, 짜릿함)
* 스킬샷 나쁘지 않음.
* 티어는 들으면 다 도망가서 비밀임.",0,중립
16,16,1452297003564560384,nogat_99,"#롤트친소 #롤_트친소  
 -18세 남자
-플레이 시간: 저녁시간(12시까지)
-모스트: 벨코즈 니코                                              
-라인: 주로 미드 가끔 서폿 원딜                 -마이크 사용 가능
-트위터 처음이라 어색함                                -가볍게 말걸어주세요!",1,중립
17,17,798863939073282048,btbmin929233,"전 은광오빠 하다방도 못보고
여기서 굴려질 예정입니다...

오빠랑 롤해보고시픈데....
(티어가 너무 차이나서 큐돌려도 못할듯ㅋㅋ)
서은광씨.. 혹시나 럭스, 카르마 서폿이 필요하시다면 저를 불러주세요..
최고의 방어를 해드림니다.",0,슬픔
18,18,1470736729502273539,d_byoung,@bebeahrang 발로란트 같이해요 엄청 재미있는게임 그리고 엄청 잘하시는걸요 .. 롤도 원딜 서폿 유져라 같이해요 !!,0,행복
19,19,1492708847454404608,fuvely_,"오늘 오후 9시 !
롤 하다가 이터널 리턴 할 거시와요 🥰
어푸푸 오늘 일겜에서 탑 미드 서폿만 할건데 완전 못하지만 덤덤이들 이빨은 안전할 거시와요 😉… (정글 원딜은 진짜 못하겠엉 ㅠㅠ)
이따 보자규~",0,행복
